Follow;Seguire
Buy: 1 x Iron pickaxe;Acquista: 1 piccone di ferro
Withdraw-12;Ritiro-12
Default quantity: 12;Quantità predefinita: 12
Deposit-12;Deposito-12
Boss list;Elenco dei capi
Waterbirth Island;Isola della nascita in acqua
Island of Stone;Isola di pietra
Ungael;Ungael
Pirate's Cove;La Baia dei Pirati
Default quantity: 448;Quantità predefinita: 448
Deposit-448;Deposito-448
Withdraw-448;Ritiro-448
Exit Speedrunning;Esci dallo Speedrunning
Default quantity: 20;Quantità predefinita: 20
Withdraw-11;Ritiro-11
Withdraw-6;Ritiro-6
Withdraw-30002;Ritiro-30002
Withdraw-2502;Ritiro-2502
Withdraw-3002;Ritiro-3002
Deposit-2502;Deposito-2502
Deposit-30002;Deposito-30002
Quick-travel;Viaggio veloce
Roll;Rotolo
Default quantity: 30,002;Quantità predefinita: 30.002
Step-over;Passo oltre
Hall - Quest trophies;Sala: trofei delle missioni
Menagerie (indoors);Serraglio (all'interno)
Menagerie (outdoors);Serraglio (all'aperto)
Buy: 5 x Stamina potion(4);Acquista: 5 pozioni di resistenza(4)
Withdraw-3728;Ritiro-3728
Default quantity: 3,728;Quantità predefinita: 3.728
Make <col=ff9040>Sapphire necklace</col>;Realizza <col=ff9040>Collana di zaffiri</col>
Darkmeyer;Darkmeyer
Ver Sinhaza;Vedi Sinhaza
Slepe;Dormire
Skilling Areas;Aree di competenza
Teleport Boat (Pandemonium);Barca di teletrasporto (Pandemonium)
Stamina Boost;Aumento della resistenza
Ring of Life;Anello della vita
Rename boat;Rinominare la barca
Warrior's Guild;Gilda dei Guerrieri
Otto's Grotto;La Grotta di Ottone
Rename Boat;Rinomina Barca
POH Portals;Portali POH
Teleports;Teletrasporta
Guild Teleports;Teletrasporto della gilda
<col=f54927>Home</col>;<col=f54927>Casa</col>
Feldip Hills;Feldip Colline
Black chinchompas;Cincinnati neri
Carnivorous chinchompas;Cincincompa carnivori
Barbarian fishing;Pesca barbara
Deposit-42;Deposito-42
Withdraw-42;Ritiro-42
The Darkfrost;Il gelo oscuro
<col=E89C46>Kastori</col>;<col=E89C46>Kastori</col>
Deposit-3728;Deposito-3728
Deposit-50;Deposito-50
Craft-goods;Articoli artigianali
Pass-to;Passare a
Mineral Pack;Pacchetto Minerale
Teleport to <col=ff8040>Pest Control</col>;Teletrasportati al <col=ff8040>Disinfestazione</col>
Join <col=ff8040>Pest Control</col> channel;Unisciti al canale <col=ff8040>Disinfestazione</col>
Switch <col=ff8040>344</col>;Cambia <col=ff8040>344</col>
Draw;Disegno
Count;Contare
She/her;Lei/lei
Select colour;Seleziona il colore
Body type B;Tipo di carrozzeria B
They/them;Loro/loro
Disable-XP;Disabilita XP
Store-axe;Ascia da negozio
Reset puzzle;Reimposta l'enigma
turn tile;girare la tessera
Sindarpos;Sindarpos
Evade;Eludere
Off/On;Spento/Acceso
Sell: 12 x Iron dagger;Vendita: 12 x Pugnale di ferro
Start-wave;Onda di partenza
Finish;Fine
Make-helmet;Make-casco
Hoop;Cerchio
Take-kettle;Bollitore
Recharge-whistle;Fischio di ricarica
Intimidate;Intimidire
Untangle;Districare
Tree Gnome Village;Villaggio degli Gnomi degli Alberi
Move left;Spostati a sinistra
Turn-left;Girare a sinistra
Move up;Vai su
Turn-right;Girare a destra
Move right;Muoviti a destra
Move down;Spostati giù
Turn clockwise;Girare in senso orario
Turn anti-clockwise;Girare in senso antiorario
Jeter;Jeter
Inspecter;Ispettore
Utiliser;Utilizzatore
Manier;Manier
Attaquer;Attaccante
Manger;Mangiatoia
Prendre;Prendre
Râteler;Râteler
Vérifier;Verificatore
Signaler;Segnalatore
Fouiller;Fouiller
Parler à;Parlerà
Échanger;Scambiatore
Monter;Monter
Détruire;Détruire
Frotter;Frotter
Enterrer;Entratore
Fermer;Fermer
Voler à la tire;Voler à la tire
Réclamer;Reclamer
Fondre;Fondre
Forger;Falsario
Cuisiner;Cucinare
Déposer;Dispositore
Sortie;Sortita
Étage supérieur;Stadio superiore
Say-name;Di'-nome
Adjust;Regolare
Add;Aggiungere
Gnome Stronghold;Fortezza degli Gnomi
Withdraw-8902;Ritiro-8902
Deposit-8902;Deposito-8902
Last-destination (ALQ);Ultima destinazione (ALQ)
View Channel;Visualizza canale
Default quantity: 8,902;Quantità predefinita: 8.902
Tracker;Localizzatore
Set to XP value;Impostato sul valore XP
Set to current XP;Impostato sui XP attuali
Goal;Obiettivo
Set to level;Impostato su livello
Activer/Désactiver;Attiva/Disattiva
Activer/Désactiver les avertissements;Attivare/disattivare gli avvertimenti
Étage inférieur;Stadio inferiore
Réclamer les trophées;Riprendete i trofei
Filet;Filetto
Entrer;Entrante
Porter;Portiere
Appât;Appât
Monter à bord;Monterà bord
Prier à;Prièrà
S'agripper;S'agripper
Lire;Lire
Trancher;Trancher
Miner;Minatore
Retirer;Pensionato
Armure;Armatura
Withdraw-378;Ritiro-378
Deposit-378;Deposito-378
Withdraw-305;Ritiro-305
Bind;Legamento
Crawl;Strisciare
Cut-foot;Piede tagliato
Default quantity: 378;Quantità predefinita: 378
Deposit-911;Deposito-911
Withdraw-911;Ritiro-911
Deposit-200000;Deposito-200000
Sand;Sabbia
Staves;Righi
Se reposer;Se riposa
S'occuper de;S'occuper de
Leurre;Leurre
Voir;Voi
Vider;Vider
Sell: 27 x Logs;Vendita: 27 tronchi
Verrouiller;Verrouiller
Add friend T0x4;Aggiungi amico T0x4
Add ignore TSwangin;Aggiungi ignora TSwangin
Add friend Vixivine;Aggiungi amico Vixivine
Leave <col=ff8040>Pest Control</col> channel;Lascia il canale <col=ff8040>Disinfestazione</col>
Add ignore Vixivine;Aggiungi ignora Vixivine
Add friend TangledHob;Aggiungi amico TangledHob
Add friend Thegravywavy;Aggiungi amico Thegravywavy
Add friend Warmtalon56;Aggiungi amico Warmtalon56
Add ignore Warmtalon56;Aggiungi ignora Warmtalon56
Add friend SynPol;Aggiungi amico SynPol
Default quantity: 200,000;Quantità predefinita: 200.000
Add ignore SW4GN4R0K;Aggiungi ignora SW4GN4R0K
Add ignore Tora Cipha;Aggiungi ignora Tora Cipha
Add ignore Thegravywavy;Aggiungi ignora Thegravywavy
Add ignore SynPol;Aggiungi ignora SynPol
Add friend TSwangin;Aggiungi amico TSwangin
Add ignore TangledHob;Aggiungi ignora TangledHob
Add friend TofuFlies;Aggiungi amico TofuFlies
Add ignore SuGIMa Donk;Aggiungi ignora SuGIMa Donk
Add friend SW4GN4R0K;Aggiungi amico SW4GN4R0K
Add friend Tora Cipha;Aggiungi l'amico Tora Cipha
Add ignore TofuFlies;Aggiungi ignora TofuFlies
Add ignore T0x4;Aggiungi ignora T0x4
Add friend SuGIMa Donk;Aggiungi l'amico SuGIMa Donk
Hitpoints XP: 10 points;Punti ferita XP: 10 punti
Prayer XP: 100 points;XP preghiera: 100 punti
Ranged XP: 1 point;XP a distanza: 1 punto
Ranged XP: 10 points;XP a distanza: 10 punti
Hitpoints XP: 1 point;Punti ferita XP: 1 punto
Last-destination (BKR);Ultima destinazione (BKR)
Construire;Costruire
Lancer;Lanciere
Chasser;Cacciatore
Voler à;Volerà
Caresser;Carezza
Acheter;Acquirente
No, don't leave.;No, non andartene.
Recruitment;Reclutamento
Expel members;Espellere i membri
Sell: 1 x Bronze axe;Vendo: 1 x ascia di bronzo
Check-keys;Controlla le chiavi
Deposit-59;Deposito-59
Withdraw-59;Ritiro-59
Withdraw-82;Ritiro-82
Withdraw-34;Ritiro-34
Deposit-49;Deposito-49
Withdraw-37;Ritiro-37
Withdraw-49;Ritiro-49
Default quantity: 49;Quantità predefinita: 49
Attraper;Attratore
Cueillir;Cueillir
Interagir;Interagire
Se faufiler;Se fallito
Sell: 1 x Raw trout;Vendo: 1 x trota cruda
Supply;Fornitura
Escort;Scorta
Utiliser le code;Utilizzare il codice le
Objets de fêtes;Oggetti di festa
Exclaim;Esclamare
Unmorph;Non metamorfosato
Question;Domanda
Survey;Sondaggio
Rejoindre;Ricongiungimento
Escalader;Scala
Leave Tomb;Lascia la tomba
Check for Snakes;Controlla i serpenti
Start-minigame;Inizia il minigioco
Quick-leave;Partenza veloce
Push-through;Push-through
Quick-withdraw;Ritiro rapido
Toggle-view;Alterna visualizzazione
Recharge-prayer;Ricarica-preghiera
Last-destination (DIS);Ultima destinazione (DIS)
Last-destination (BKP);Ultima destinazione (BKP)
Withdraw-51;Ritiro-51
Withdraw-732;Ritiro-732
Withdraw-636;Ritiro-636
Deposit-732;Deposito-732
Deposit-51;Deposito-51
Withdraw-60;Ritiro-60
Deposit-60;Deposito-60
Withdraw-64;Ritiro-64
À l'extérieur;All'esterno
Couper;Couper
Default quantity: 60;Quantità predefinita: 60
Deposit-236;Deposito-236
Favourites;Preferiti
AJR;AJR
CIR;CIR
CIS;CSI
DJR;DJR
Default quantity: 236;Quantità predefinita: 236
View List;Visualizza elenco
Last-destination (BKS);Ultima destinazione (BKS)
DIP;IMMERSIONE
BKS;BKS
Buy: 1 x Tuna;Acquista: 1 x Tonno
Deposit-2787;Deposito-2787
Withdraw-2787;Ritiro-2787
Default quantity: 2,787;Quantità predefinita: 2.787
Tirer;Tirer
Sell: 1 x Skills necklace;Vendo: 1 collana Skills
View-game;Visualizza-gioco
Cancel preview;Annulla l'anteprima
Deposit-856;Deposito-856
Withdraw-856;Ritiro-856
Last-destination (DLR);Ultima destinazione (DLR)
Default quantity: 9,000;Quantità predefinita: 9.000
Turn pressure valve up;Alzare la valvola di pressione
Turn tar flow valve down;Abbassare la valvola del flusso del catrame
Click this to add coal.;Fare clic qui per aggiungere carbone.
Turn tar valve up;Alzare la valvola del catrame
Turn pressure valve down;Abbassare la valvola di pressione
Toggle Fossils;Attiva/disattiva Fossili
Empty basket;Cesto vuoto
Forestry kit;Kit forestale
Open/Close;Apri/Chiudi
Log basket;Cestino per legna
View tutorial;Visualizza l'esercitazione
Charter-to Land's End;Charter-to Land's End
Select <col=ff981f>Law rune;Seleziona <col=ff981f>Runa della legge
Examine <col=ff981f>Infinity gloves;Esamina i <col=ff981f>Guanti Infinity
Select <col=ff981f>Beginner wand;Seleziona <col=ff981f>Bacchetta per principianti
Trade-with;Scambia con
Examine <col=ff981f>Infinity hat;Esamina il <col=ff981f>Cappello dell'Infinito
Select <col=ff981f>Steam rune;Seleziona <col=ff981f>Runa del vapore
Examine <col=ff981f>Lava rune;Esamina la <col=ff981f>runa lava
Select <col=ff981f>Mage's book;Seleziona <col=ff981f>Libro del mago
Select <col=ff981f>Mud rune;Seleziona <col=ff981f>Runa del fango
Quick-use;Utilizzo rapido
Examine <col=ff981f>Infinity top;Esamina <col=ff981f>Infinito superiore
Select <col=ff981f>Rune pouch;Seleziona <col=ff981f>Sacca di rune
Examine <col=ff981f>Apprentice wand;Esamina la <col=ff981f>Bacchetta dell'Apprendista
Select <col=ff981f>Master wand;Seleziona <col=ff981f>Bacchetta principale
Select <col=ff981f>Apprentice wand;Seleziona <col=ff981f>Bacchetta dell'apprendista
Examine <col=ff981f>Steam rune;Esamina la <col=ff981f>Runa del vapore
Select <col=ff981f>Infinity top;Seleziona <col=ff981f>Infinito superiore
Select <col=ff981f>Infinity gloves;Seleziona <col=ff981f>Guanti Infinity
Examine <col=ff981f>Teacher wand;Esamina la <col=ff981f>Bacchetta dell'insegnante
Examine <col=ff981f>Infinity bottoms;Esamina <col=ff981f>Fondi dell'infinito
Examine <col=ff981f>Mud rune;Esamina la <col=ff981f>Runa del fango
Examine <col=ff981f>Rune pouch;Esamina <col=ff981f>Sacca delle rune
Examine <col=ff981f>Smoke rune;Esamina la <col=ff981f>Runa del fumo
Select <col=ff981f>Teacher wand;Seleziona <col=ff981f>Bacchetta dell'insegnante
Select <col=ff981f>Bones to peaches;Seleziona <col=ff981f>Dossi alle pesche
Examine <col=ff981f>Mage's book;Esamina il <col=ff981f>libro del mago
Select <col=ff981f>Infinity bottoms;Seleziona <col=ff981f>Fondo infinito
Examine <col=ff981f>Master wand;Esamina la <col=ff981f>Bacchetta principale
Select <col=ff981f>Lava rune;Seleziona <col=ff981f>Runa lava
Examine <col=ff981f>Law rune;Esamina la <col=ff981f>Runa della legge
Examine <col=ff981f>Beginner wand;Esamina la <col=ff981f>Bacchetta per principianti
Examine <col=ff981f>Soul rune;Esamina la <col=ff981f>Runa dell'anima
Examine <col=ff981f>Bones to peaches;Esamina <col=ff981f>Dossi delle pesche
Select <col=ff981f>Infinity hat;Seleziona <col=ff981f>Cappello dell'infinito
Select <col=ff981f>Smoke rune;Seleziona <col=ff981f>Runa del fumo
Select <col=ff981f>Soul rune;Seleziona <col=ff981f>Runa dell'anima
New-maze;Nuovo labirinto
Select <col=ff981f>Nature rune;Seleziona <col=ff981f>Runa della natura
Examine <col=ff981f>Nature rune;Esamina la <col=ff981f>Runa della natura
Examine <col=ff981f>Death rune;Esamina la <col=ff981f>Runa della morte
Select <col=ff981f>Death rune;Seleziona <col=ff981f>Runa della morte
Lemanto Andra;Lemanto Andra
Battlefield of Khazard;Campo di battaglia di Khazard
Add friend VeshonsAcc;Aggiungi amico VeshonsAcc
Add ignore Xclearwater2;Aggiungi ignora Xclearwater2
Add ignore VeshonsAcc;Aggiungi ignora VeshonsAcc
Add ignore Wildcat;Aggiungi ignora Wildcat
Add friend Xclearwater2;Aggiungi amico Xclearwater2
Add ignore X1_Cygnus;Aggiungi ignora X1_Cygnus
Add friend XRatchet1313;Aggiungi amico XRatchet1313
Add friend Wildcat;Aggiungi amico Wildcat
Add friend X1_Cygnus;Aggiungi amico X1_Cygnus
Join <col=ff8040>Shield of Arrav</col> channel;Unisciti al canale <col=ff8040>Shield of Arrav</col>
Add ignore XRatchet1313;Aggiungi ignora XRatchet1313
Add friend XxGARLITCHxX;Aggiungi amico XxGARLITCHxX
Add ignore XxGARLITCHxX;Aggiungi ignora XxGARLITCHxX
Add ignore Zarvll;Aggiungi ignora Zarvll
Add friend Zourberts;Aggiungi amico Zourberts
Add ignore Wenedi;Aggiungi ignora Wenedi
Add friend xater;Aggiungi amico xater
Add friend YoMd_Debo;Aggiungi amico YoMd_Debo
Add friend Zpazt196;Aggiungi amico Zpazt196
Leave <col=ff8040>Shield of Arrav</col> channel;Lascia il canale <col=ff8040>Shield of Arrav</col>
Add friend Whoisu82;Aggiungi amico Whoisu82
Add friend wblion;Aggiungi amico wblion
Add ignore Zpazt196;Aggiungi ignora Zpazt196
Add friend Zarvll;Aggiungi amico Zarvll
Add friend Wenedi;Aggiungi amico Wenedi
Add friend westymartell;Aggiungi amico westymartell
Add ignore Whoisu82;Aggiungi ignora Whoisu82
Add ignore westymartell;Aggiungi ignora westymartell
Add ignore wblion;Aggiungi ignora wblion
Add ignore xater;Aggiungi ignora xater
Add ignore Zourberts;Aggiungi ignora Zourberts
Add ignore YoMd_Debo;Aggiungi ignora YoMd_Debo
Teleport to <col=ff8040>Shield of Arrav</col>;Teletrasportati allo <col=ff8040>Scudo di Arrav</col>
Recherche;Ricerca
DÃ©truire;Détruire
Goutte;Gotta
Buy Membership;Acquista l'abbonamento
Add friend thobblee;Aggiungi amico thobblee
Add friend Igvor;Aggiungi amico Igvor
Add friend jalc2026;Aggiungi amico jalc2026
Add friend GingerbreadF;Aggiungi amico GingerbreadF
Add friend OATHSLAYER42;Aggiungi amico OATHSLAYER42
Add friend Trickster416;Aggiungi amico Trickster416
Add ignore GingerbreadF;Aggiungi ignora GingerbreadF
Leave <col=ff8040>Burthorpe Games Room</col> channel;Lascia il canale <col=ff8040>Burthorpe Games Room</col>
Add ignore Runeflick;Aggiungi ignora Runeflick
Add ignore Wag City;Aggiungi ignora Wag City
Switch <col=ff8040>491</col>;Cambia <col=ff8040>491</col>
Add ignore OATHSLAYER42;Aggiungi ignora OATHSLAYER42
Join <col=ff8040>Burthorpe Games Room</col> channel;Unisciti al canale <col=ff8040>Burthorpe Games Room</col>
Add ignore jalc2026;Aggiungi ignora jalc2026
Add friend Wag City;Aggiungi un amico Wag City
Add ignore Igvor;Aggiungi ignora Igvor
Add friend Runeflick;Aggiungi amico Runeflick
Teleport to <col=ff8040>Burthorpe Games Room</col>;Teletrasportati alla <col=ff8040>Sala giochi Burthorpe</col>
Add ignore Trickster416;Aggiungi ignora Trickster416
Add friend Iron Veetz;Aggiungi un amico Iron Veetz
Add ignore thobblee;Aggiungi ignora thobblee
Add ignore Iron Veetz;Aggiungi Ignora Iron Veetz
Claim-Shield;Claim-Shield
Swing Across;Oscilla attraverso
Oubliette;Oubliette
Formal garden;Giardino formale
Throne room;Sala del trono
Chapel;Cappella
Portal chamber;Camera del portale
Superior garden;Giardino superiore
Costume room;Sala dei costumi
CKR;CKR
DKR;DKR
Remove<col=ff9040> Hint arrow;Rimuovi<col=ff9040> ​​Freccia suggerimento
Show<col=ff9040> Hint;Mostra<col=ff9040> ​​Suggerimento
Ring-last-destination (AKP);Chiama l'ultima destinazione (AKP)
Withdraw-1884;Ritiro-1884
Prix;Premio
Décanter;Decanter
Objets;Oggetti
Récompenses;Ricompense
Tête de mort;Testa di morte
Butin;Butin
Historique;Storico
Ensembles;Ensemble
Make <col=ff9040>Collier rubis</col>;Crea <col=ff9040>Collier rubis</col>
Make <col=ff9040>Bague rubis</col>;Prepara <col=ff9040>Bague rubis</col>
Make <col=ff9040>Emerald amulet (u)</col>;Crea <col=ff9040>Amuleto di smeraldo (u)</col>
Fabriquer;Fabriquer
Make <col=ff9040>Gold amulet (u)</col>;Crea <col=ff9040>Amuleto d'oro (u)</col>
Make <col=ff9040>Bague en saphir</col>;Prepara <col=ff9040>Bague en saphir</col>
Make <col=ff9040>Bague en or</col>;Crea <col=ff9040>Bague en o</col>
Make <col=ff9040>Sapphire amulet (u)</col>;Crea <col=ff9040>Amuleto di zaffiro (u)</col>
String;Corda
Apply Changes;Applica modifiche
Yes, Apply Changes;Sì, applica modifiche
Leagues;Leghe
End Tutorial;Fine dell'esercitazione
Show <col=ff9040>Summary</col>;Mostra <col=ff9040>Riepilogo</col>
View Demonic Pacts;Visualizza Patti Demoniaci
View Areas;Visualizza aree
View Relics;Visualizza le reliquie
Show <col=ff9040>Ranks</col>;Mostra <col=ff9040>Classifica</col>
Yama's Lair;La tana di Yama
Civitas;Civitas
Dispose;Smaltire
Check-pets;Controllare gli animali domestici
View Next Image;Visualizza l'immagine successiva
Teleport to;Teletrasportarsi a
Deselect Node;Deseleziona nodo
Zoom In;Zoom avanti
No, Undo Changes;No, annulla le modifiche
Undo Changes;Annulla modifiche
Expand Active Pact Information;Espandi le informazioni sul patto attivo
Hide Information Panel;Nascondi pannello informazioni
Channel (Varlamore);Canale (Varlamore)
Exit Leagues;Esci dai campionati
Briser;Briser
Entrer (membre);Entrante (membro)
Entrer (invité);Ingresso (invito)
NER Lookup;Ricerca NER
Lunar Isle;Isola Lunare
Sell: 1 x Mithril chainbody;Vendo: 1 x catena in Mithril
Asgarnia;Asgarnia
Varlamore;Varlamore
Kourend;Kurend
Tirannwn;Tirannwn
Channel (Wilderness);Canale (deserto)
Swap-Effect;Effetto scambio
Toggle absorption;Attiva/disattiva l'assorbimento
Default quantity: 500,000;Quantità predefinita: 500.000
Play-with;Gioca con
Afirmar;Afirmar
Withdraw-all;Ritira tutto
Withdraw-last;Ritiro per ultimo
Orar en;Orario
Crumble Undead;Sbriciolare i non morti
Sell: 104 x Bronze bar;Vendita: 104 x Barra di bronzo
Valor;Valore
Remove from playlist 2;Rimuovi dalla playlist 2
Peer-into;Scrutare
Offer 5;Offerta 5
Offer All;Offri tutti
Offer 1;Offerta 1
Offer X;Offerta X
Robar de;Robar de
View journal <col=ff981f>Children of the Sun</col>;Visualizza il diario <col=ff981f>Figli del Sole</col>
Sell: 14 x Cowhide;Vendita: 14 x Pelle bovina
Buy: 1 x Mithril platelegs;Acquista: 1 x gambe in Mithril
Default quantity: 3,000;Quantità predefinita: 3.000
Deposit-1800;Deposito-1800
Withdraw-1800;Ritiro-1800
Sell: 2 x Gold bar;Vendita: 2 x lingotti d'oro
Clamber;Arrampicarsi
View journal <col=ff981f>Druidic Ritual</col>;Visualizza il diario <col=ff981f>Rituale druidico</col>
Sell: 1 x Bronze sq shield;Vendo: 1 x scudo quadrato in bronzo
Buy: 1 x Steel platebody;Acquista: 1 x corpo in lamiera d'acciaio
Previous Spellbook;Libro degli incantesimi precedente
Last-destination (Brimhaven: Rope swing);Ultima destinazione (Brimhaven: Rope Swing)
Last-destination (BLS);Ultima destinazione (BLS)
Rules;Regole
Change Spellbook;Cambia libro degli incantesimi
Looting;Saccheggio
Area of effect;Area di effetto
Check Previous;Controlla precedente
Last-destination (Shilo village: Stepping stone);Ultima destinazione (villaggio Shilo: Stepping stone)
Last-destination (Mort myre: Stepping stone);Ultima destinazione (Mort Myre: Stepping stone)
Last-destination (Auburn valley: Log balance (north));Ultima destinazione (Auburn Valley: Log Balance (nord))
Last-destination (Hosidius: River stepping stone);Ultima destinazione (Osidio: trampolino di lancio del fiume)
Buy: 1 x Team-42 cape;Acquista: 1 mantello Team-42
Add ignore BreakingChin;Aggiungi ignora BreakingChin
Add friend CutePoisonnn;Aggiungi amico CutePoisonnn
Add friend dougismyuser;Aggiungi amico dougismyuser
Add ignore Mazumizu;Aggiungi ignora Mazumizu
Add ignore CommonTroll;Aggiungi ignora CommonTroll
Add ignore Zero Magik;Aggiungi ignora Zero Magik
Add ignore mr backshots;Aggiungi ignora i backshots
Add ignore Runheim;Aggiungi ignora Runheim
Add ignore Crybals;Aggiungi Ignora Crybals
